ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2018-03-09,52,32418,647,Employed,Bachelor,29,32208,12,1,2,Rent,447,0.4134019823146939,1,0,0.3187597670827545,0,Auto,0,26,3,2926,533,326015,12696,2701.5,0.7782867665556822,3,313319,0.173708,0.1507093998795362,2908.117979703395,1.241946318602034,0,50.0
2018-03-10,44,26879,649,Employed,Bachelor,21,20313,60,1,1,Rent,562,0.4332425002437474,3,2,0.2196495791430893,0,Home,0,22,29,4029,3740,94575,23485,2239.9166666666665,0.7542214073775044,5,71090,0.200813,0.1989639513607613,536.999939490595,0.4906432260830812,0,50.0
2018-03-11,32,54128,620,Employed,Bachelor,11,20676,36,0,0,Mortgage,322,0.2634989466223707,2,1,0.1001359210966172,0,Home,0,32,7,4943,388,92000,4196,4510.666666666667,0.7899474592022075,1,87804,0.195676,0.1777530372100154,745.1584241528697,0.2365855211689778,1,36.8
2018-03-13,58,90788,672,Employed,Bachelor,34,18243,36,1,2,Mortgage,153,0.2979257232305213,3,0,0.1466334645866133,0,Debt Consolidation,0,20,21,1980,1139,13542,32218,7565.666666666667,0.7530314751383508,6,5911,0.167243,0.1404285694238773,623.8822990927248,0.102685240220213,1,34.4
2018-03-17,49,40829,617,Employed,Bachelor,25,25478,36,1,1,Mortgage,785,0.0732205581912403,3,0,0.2537459242072161,0,Auto,0,11,14,2267,1111,42122,7348,3402.4166666666665,0.9519486310258534,0,34774,0.201978,0.1793120992231495,920.2117648607896,0.5011766435212588,0,49.0
2018-03-19,36,68801,531,Employed,Bachelor,14,18652,36,0,0,Rent,1044,0.1655157134903838,1,2,0.3352329239387456,0,Auto,1,30,16,1810,630,446359,16938,5733.416666666667,0.554409422563644,2,429421,0.238152,0.2857824,777.3521551115733,0.3176730841316096,0,53.0
2018-03-20,41,92731,619,Employed,Bachelor,19,31116,48,0,1,Rent,396,0.1230518515092504,4,1,0.2211172138523826,0,Home,0,20,3,3025,1004,11209,14838,7727.583333333333,0.5537108281243177,3,7629,0.216616,0.2154245032726364,972.6302005988942,0.1771097303726556,0,50.0
2018-03-28,50,60992,663,Employed,Bachelor,30,24642,48,0,0,Rent,664,0.2526376838731083,0,0,0.0555881712831942,0,Home,0,28,17,4726,1723,52202,13350,5082.666666666667,0.9171479632528536,4,38852,0.188142,0.2164492880291759,771.6304125662359,0.2824561409823392,0,44.0
2018-04-01,41,51707,585,Employed,Bachelor,18,20069,72,1,3,Rent,407,0.0059223893278881,5,0,0.2173883786590151,0,Home,0,25,7,3815,1252,24114,24580,4308.916666666667,0.8373237138844005,4,2253,0.242569,0.268223329089061,563.2583042698386,0.2251745344196735,0,52.0
2018-04-02,51,31251,596,Unemployed,Bachelor,30,66582,24,0,0,Rent,357,0.5664480969779048,2,2,0.1601695538852808,0,Home,1,21,25,2313,945,30153,37940,2604.25,0.7840615661655488,5,3276,0.243582,0.2474564400627162,3545.091047229281,1.498355014775571,0,61.0
2018-04-08,43,30948,601,Employed,Bachelor,17,25291,36,1,0,Mortgage,286,0.0509513419696787,1,0,0.3603486893761465,0,Auto,0,19,25,7167,291,99978,21318,2579.0,0.7435777656921195,9,78660,0.209791,0.2233077175954149,970.2078724473372,0.4870910711311893,0,49.0
2018-04-12,34,26567,612,Employed,Bachelor,13,17339,60,0,1,Mortgage,194,0.0873860931301412,1,1,0.0653370744758526,0,Education,0,17,14,2738,512,55729,81589,2213.9166666666665,0.6828916312462736,4,9625,0.216339,0.2321913245705517,490.98002931805775,0.3093973859230132,0,48.0
2018-04-13,35,33569,596,Employed,Bachelor,9,37172,48,Divorced,0,Mortgage,212,0.2629147472900452,3,0,0.0325882994284799,0,Home,0,20,8,2103,12534,56452,23346,2797.4166666666665,0.7067858949522561,6,33106,0.234172,0.2245695694108283,1180.3849642470652,0.4977395683804934,0,52.0
2018-04-14,30,94238,608,Employed,Bachelor,6,15917,36,1,3,Own,203,0.1643775271640669,3,2,0.4589280817317269,0,Home,0,23,2,3382,7940,54668,13137,7853.166666666667,0.6076754325693814,3,41531,0.1969169999999999,0.1876325332493067,581.5503891626953,0.099902424393051,1,44.0
2018-04-15,38,45145,587,Employed,Bachelor,17,11431,48,Divorced,1,Mortgage,879,0.1261249456996093,5,0,0.2974102492388263,0,Education,0,27,24,7060,2678,119670,26515,3762.0833333333335,0.9581471730380612,9,93155,0.212931,0.196131632018912,345.4978468657514,0.3254839774590545,1,40.0
2018-04-18,42,63709,517,Unemployed,Bachelor,18,22221,48,0,0,Mortgage,623,0.2838588898758306,2,3,0.4732130443935223,0,Auto,0,41,18,3930,136,80888,12851,5309.083333333333,0.6208073821759903,3,68037,0.258721,0.2654236406441723,756.0285458271679,0.2597488981137047,0,57.0
2018-04-19,43,31713,487,Self-Employed,Bachelor,18,38865,48,1,1,Rent,314,0.2499556834175538,2,3,0.6010572141517163,0,Auto,0,20,6,395,231,49718,43113,2642.75,0.9786517361897752,3,6605,0.290365,0.2864304610851083,1368.8672558289884,0.6367863989514666,0,64.0
2018-04-22,39,55454,565,Self-Employed,Bachelor,16,35551,36,1,3,Mortgage,1206,0.2406738956667675,5,0,0.5263880901334251,0,Auto,0,22,13,4159,1098,33268,27329,4621.166666666667,0.9733609129905876,4,5939,0.2380509999999999,0.2541482188827534,1421.3129304334127,0.5685388820500045,0,61.0
2018-04-26,43,49421,609,Employed,Bachelor,21,17161,72,1,3,Other,438,0.3621156053362238,3,4,0.2587870541153639,0,Debt Consolidation,0,21,8,10050,1546,17627,40586,4118.416666666667,0.8538435594219569,8,9540,0.227661,0.2580680759549189,470.8010353828341,0.2206675790573644,0,51.0
2018-04-30,49,48399,564,Employed,Bachelor,29,19629,48,0,0,Rent,346,0.2845530444179331,6,1,0.2145117695194217,0,Home,0,18,19,993,1120,91813,16583,4033.25,0.8816550375388991,1,75230,0.232629,0.264095005853557,666.3672618766681,0.2510053336333399,0,51.0
2018-05-04,23,73576,603,Employed,Bachelor,0,12055,36,1,2,Other,491,0.010550359397377,8,0,0.24930210540325,0,Education,0,26,1,1924,600,50167,59651,6131.333333333333,0.7665230614013436,5,4647,0.195555,0.1754386463723086,433.0636692410553,0.1507116998870917,1,41.6
2018-05-05,47,50345,602,Employed,Bachelor,22,18805,48,1,1,Mortgage,441,0.4682993166153103,2,1,0.0879305410086949,0,Home,0,24,1,13605,785,50714,3537,4195.416666666667,0.5794889302075689,3,47177,0.212805,0.2324865552985765,605.2927055520034,0.2493894620443746,0,52.0
2018-05-10,33,15000,523,Employed,Bachelor,8,13879,60,1,2,Rent,248,0.258464995124704,2,2,0.3668960471331983,0,Auto,0,29,13,12973,290,27247,5651,1250.0,0.7785983863246368,2,21596,0.257379,0.2690634753047489,423.0232759033748,0.5368186207226998,0,56.0
2018-05-14,45,22121,602,Employed,Bachelor,23,18805,60,Divorced,3,Other,250,0.2210274421152772,0,2,0.0641242479182796,0,Home,0,32,12,667,2669,63386,7364,1843.4166666666667,0.9867449095215128,2,56022,0.2228049999999999,0.2379574379604218,538.7544132243307,0.4278763599607598,0,47.0
2018-05-16,58,134691,621,Employed,Bachelor,36,16421,24,1,0,Rent,607,0.1916414193207638,1,0,0.169401203082851,0,Home,1,28,27,1619,306,48831,27992,11224.25,0.8842708944465567,4,20839,0.180921,0.1980686738965583,834.2114895797027,0.1284015849236877,1,40.0
2018-05-21,42,53444,521,Unemployed,Bachelor,19,16462,60,1,0,Other,730,0.3684903388772527,4,1,0.237526015053893,0,Auto,0,24,12,4608,638,44150,32195,4453.666666666667,0.5809484460351957,7,11955,0.260962,0.2880802820182057,520.6123708999971,0.2808051128433493,0,55.0
2018-05-23,20,31270,581,Employed,Bachelor,1,6624,12,1,1,Mortgage,151,0.464867466093846,5,2,0.0920790813606543,0,Other,1,27,20,2857,478,78348,31210,2605.833333333333,0.7802279615770682,6,47138,0.181124,0.173323616262346,605.1855616188404,0.2901895343596445,0,58.0
2018-05-26,49,86882,612,Employed,Bachelor,24,51374,72,1,1,Rent,380,0.116597619683324,1,2,0.225287112967231,0,Home,0,35,19,10374,565,45230,263937,7240.166666666667,0.5470855796326178,8,4755,0.260374,0.2777725883376206,1472.6892010165866,0.2558904078197905,0,47.0
2018-05-28,24,32582,513,Self-Employed,Bachelor,4,26598,60,Divorced,0,Rent,231,0.4625920674621868,5,1,0.1466522547528528,0,Debt Consolidation,0,24,21,288,1263,32463,10978,2715.1666666666665,0.8519066808790127,4,21485,0.275098,0.2727079521049,816.4890481577511,0.3857918046127621,0,55.0
2018-05-29,46,101562,612,Employed,Bachelor,23,30836,84,Divorced,3,Mortgage,323,0.6055536860613306,6,0,0.1895148847247776,0,Education,1,26,14,7528,378,62262,36152,8463.5,0.7734253915833851,5,26110,0.249836,0.236658704709986,754.4015679516308,0.127299765812209,0,54.0
2018-05-30,43,24611,548,Unemployed,Bachelor,25,21110,24,1,0,Other,489,0.5774590354323942,0,1,0.222317808740061,0,Education,0,30,18,10586,1352,190056,20979,2050.9166666666665,0.7565857226468845,5,169077,0.2221099999999999,0.2473423829653818,1123.8598944257246,0.7864092776851285,0,54.0
2018-06-01,44,47430,605,Employed,Bachelor,25,32684,60,1,5,Mortgage,377,0.6351421226572908,2,0,0.191575883028812,0,Debt Consolidation,0,31,17,673,505,57941,32526,3952.5,0.7162418050569915,5,25415,0.235184,0.2323554773523261,925.8059033784632,0.3296156618288332,0,50.0
2018-06-03,42,28751,536,Employed,Bachelor,21,30150,60,1,0,Own,343,0.4110981671499558,1,3,0.3386737526920623,0,Debt Consolidation,0,19,5,8298,2785,33961,20305,2395.9166666666665,0.8500267069542693,7,13656,0.26715,0.258890881936069,900.7265157618874,0.5191025769240253,0,59.0
2018-06-04,43,43567,547,Employed,Bachelor,17,17390,24,1,2,Mortgage,308,0.1436437837044899,3,0,0.2657086420246948,0,Debt Consolidation,0,28,10,12906,4746,131041,11319,3630.5833333333335,0.7653277557835397,3,119722,0.2188899999999999,0.2380168360580599,917.707994966234,0.3376063520461543,0,48.0
2018-06-16,49,74085,653,Employed,Bachelor,27,36208,12,1,2,Other,375,0.2610447149526503,3,0,0.5635651599936462,0,Debt Consolidation,0,32,28,2043,15912,70652,75471,6173.75,0.8407513173047919,6,7553,0.174708,0.1710999384947515,3304.2319994015834,0.5959476816200175,0,52.0
2018-06-17,62,33370,633,Employed,Bachelor,41,18943,24,Divorced,2,Rent,545,0.5216435101841149,5,0,0.3087013594120962,0,Home,0,24,9,966,1022,92153,124204,2780.833333333333,0.8363589085183586,5,10973,0.177443,0.1854112496546378,950.6725134774842,0.5378504693356251,0,54.0
2018-06-22,39,48707,582,Employed,Bachelor,17,9741,36,1,0,Other,558,0.0522357238300751,1,0,0.2514780656533204,0,Home,0,30,17,2817,337,118511,49436,4058.9166666666665,0.8151823308796098,13,69075,0.203741,0.2444892,384.46701682767775,0.2321966904537773,0,50.0
2018-06-25,49,88064,568,Employed,Bachelor,27,24156,120,1,0,Other,382,0.4188561574560084,2,0,0.1095899033439234,0,Other,0,28,17,7110,252,161014,25181,7338.666666666667,0.7183138858213195,4,135833,0.295156,0.2599071122999699,566.4924363690118,0.1292458806825506,1,36.8
2018-06-27,57,55440,614,Employed,Bachelor,35,31937,12,Widowed,2,Own,497,0.1472038203843839,3,2,0.3286043803976798,0,Auto,0,25,14,958,1312,32453,11335,4620.0,0.9196059262663318,4,21118,0.189937,0.1855233268684352,2936.3855222944208,0.7431570394576669,0,50.0
2018-06-29,72,115677,511,Employed,Bachelor,51,27962,24,1,1,Own,364,0.1067163362071237,6,0,0.4827722727825871,0,Debt Consolidation,0,26,6,1314,3522,89023,36001,9639.75,0.621282685530762,5,53022,0.247462,0.281752414333143,1537.2902256069656,0.1972343915150253,0,54.0
2018-07-01,29,51989,517,Employed,Bachelor,5,26850,72,1,3,Mortgage,351,0.1694921328730161,5,0,0.486149060748954,0,Auto,0,22,3,1462,391,54547,10095,4332.416666666667,0.837484158288577,6,44452,0.28335,0.308280968179741,822.1477906476991,0.2707836943925136,0,58.0
2018-07-04,37,68157,565,Employed,Bachelor,14,15091,36,1,2,Mortgage,394,0.2163111726654191,1,1,0.0854081281215183,0,Education,0,28,27,4080,422,12695,66526,5679.75,0.7484423617468884,3,3047,0.2175909999999999,0.2315036535692716,585.3517618414047,0.1724286741214674,1,40.0
2018-07-06,45,84230,579,Employed,Bachelor,21,61376,72,1,0,Rent,565,0.3140071582874062,3,0,0.0933659074560961,0,Home,1,34,7,922,542,29842,14843,7019.166666666667,0.894826038127962,3,14999,0.286876,0.2939864165511338,1822.717367698761,0.34017106033937,0,56.0
2018-07-09,21,73625,540,Employed,Bachelor,1,12927,24,0,0,Mortgage,182,0.1167416801898883,1,1,0.192876457773361,1,Home,0,21,8,1176,1252,159098,20357,6135.416666666667,0.92268772470023,7,138741,0.2179269999999999,0.2086074203960138,663.3784315790815,0.1377866374050795,0,58.0
2018-07-16,29,55172,606,Employed,Bachelor,6,40220,36,1,0,Mortgage,317,0.5136802341383394,4,6,0.5761166993738129,0,Auto,0,31,9,14454,1521,82416,8200,4597.666666666667,0.8553367080777702,4,74216,0.22222,0.2238548220091063,1544.0523603590204,0.4047819242425187,0,55.0
2018-07-18,40,19990,564,Employed,Bachelor,22,11236,24,Divorced,2,Mortgage,511,0.4284277726311846,2,1,0.26027699018118,0,Debt Consolidation,0,28,15,1477,5786,100659,7602,1665.8333333333333,0.885167782272192,4,93057,0.2042359999999999,0.1917589524471055,567.3519040174446,0.6473348098153745,0,53.0
2018-07-20,44,21725,630,Employed,Bachelor,22,38766,48,0,0,Rent,206,0.1902325394109812,6,1,0.427326575550395,0,Auto,0,10,13,2332,494,90534,37492,1810.4166666666667,0.8438441020682367,8,53042,0.218766,0.2393707184393972,1262.49450831775,0.8111362071260299,0,52.0
2018-07-30,46,37268,535,Employed,Bachelor,23,26549,48,1,0,Rent,504,0.1098719155051626,2,2,0.1041444162817191,0,Debt Consolidation,1,19,12,652,2447,29282,10542,3105.6666666666665,0.9183330891399824,8,18740,0.2540489999999999,0.2238586816278152,842.0263949487166,0.4334098083982129,0,56.0
2018-08-07,34,21573,522,Employed,Bachelor,12,12419,48,Divorced,0,Other,194,0.4329456346470891,4,1,0.4087024481540232,0,Education,0,28,15,2935,229,51753,3910,1797.75,0.9201862929842988,7,47843,0.246419,0.2317055964553329,399.2086431943682,0.3299728233594038,0,59.0
2018-08-08,40,86157,535,Employed,Bachelor,15,16775,36,1,2,Mortgage,370,0.2801244623624745,2,1,0.3294150353121829,0,Auto,0,26,12,3368,4485,106697,33353,7179.75,0.8526494039878054,5,73344,0.234275,0.2384193557901897,656.7397066687212,0.1430049384266473,1,40.8
2018-08-10,18,77920,578,Employed,Bachelor,0,20677,36,Divorced,2,Rent,1093,0.2792779032275764,1,0,0.4797705757616276,0,Debt Consolidation,0,26,20,6127,2578,36486,94587,6493.333333333333,0.853444466213955,4,5109,0.216677,0.2341374477915227,804.8666365293196,0.2922792561390123,0,56.0
2018-08-11,48,35187,574,Employed,Bachelor,24,82538,48,1,1,Mortgage,572,0.0401105443376594,2,2,0.2100346607236835,0,Auto,1,25,9,7826,502,24320,13229,2932.25,0.7158706722851017,4,11091,0.290538,0.28865160241305,2917.6330220354057,1.1900871419679109,0,59.0
2018-08-12,20,53299,544,Self-Employed,Bachelor,0,36261,36,Divorced,0,Mortgage,630,0.1186838574631247,0,2,0.4570036583948081,0,Home,0,25,24,3678,1968,175920,10093,4441.583333333333,0.7917061644382016,3,165827,0.2492609999999999,0.2819084233380511,1503.626162452273,0.4803751280404375,0,54.0
2018-08-16,27,29512,545,Employed,Bachelor,5,28201,60,0,1,Mortgage,455,0.0889262496027724,3,2,0.2382239805618368,0,Home,0,15,18,2290,5251,24830,65744,1250.0,0.7866230119630193,2,3661,0.260701,0.2985190609050124,909.8344899682252,1.0918675919745802,0,53.0
2018-08-20,42,70901,575,Self-Employed,Bachelor,22,20087,60,1,0,Rent,582,0.4906214976465529,4,3,0.328179015710244,0,Home,0,29,4,12504,522,43108,19402,5908.416666666667,0.8960520067181497,5,23706,0.237587,0.2388286071848654,576.4971798101402,0.1960757416358257,0,61.0
2018-08-27,32,48777,549,Employed,Bachelor,8,32798,72,Divorced,3,Own,176,0.5015655330324704,4,0,0.2891038188839888,0,Auto,0,30,4,1382,446,100090,30965,4064.75,0.8044430879689629,4,69125,0.273298,0.2966013455898997,979.5255674957392,0.284279615596467,0,55.0
2018-08-29,30,18662,544,Employed,Bachelor,11,28715,60,0,1,Rent,511,0.276851053054796,4,0,0.4274032839526854,0,Home,0,25,12,3730,149,94880,7676,1555.1666666666667,0.8929806884383118,7,87204,0.261715,0.2638703832786698,866.3323772508328,0.8856493691463935,0,56.0
2018-09-01,50,27279,634,Employed,Bachelor,29,14474,72,0,0,Mortgage,590,0.1014320071614884,3,0,0.1691377647178658,0,Debt Consolidation,0,21,28,1524,5782,117515,46510,2273.25,0.646644684799492,1,71005,0.212474,0.202603629054538,348.8810900902082,0.4130126867217456,0,46.0
2018-09-02,25,15000,603,Employed,Bachelor,4,33259,48,0,2,Other,253,0.0631758511129543,1,1,0.1227545473949578,0,Other,1,19,9,2500,627,125998,47479,1250.0,0.5716952202493,3,78519,0.226759,0.2058863664135576,1022.5434681056088,1.0204347744844868,0,53.0
2018-09-03,35,75376,610,Employed,Bachelor,16,20920,36,0,3,Mortgage,448,0.7454746291843386,4,0,0.5165433498225567,1,Debt Consolidation,0,22,8,1654,860,5522,12731,6281.333333333333,0.9102016146101432,4,4964,0.20092,0.1702407781881528,746.1057713721455,0.1901038693545126,0,70.0
2018-09-05,32,34817,606,Employed,Bachelor,8,36726,48,1,0,Rent,570,0.2563830614063498,3,1,0.234471781352428,0,Home,0,26,1,3099,669,46874,110774,2901.4166666666665,0.8930420436236163,9,2880,0.228726,0.2587822324943619,1235.7869424730782,0.62238111582494,0,54.0
2018-09-06,61,68306,583,Employed,Bachelor,39,25261,24,1,2,Mortgage,441,0.0375608964605936,3,3,0.594253569743979,0,Other,0,25,3,2656,298,24326,20178,5692.166666666667,0.8090083989784659,8,4148,0.208761,0.2155627725992596,1304.965383611198,0.3067312476698148,0,60.0
2018-09-07,44,58991,587,Employed,Bachelor,23,14635,48,Divorced,0,Mortgage,248,0.1062924249308045,4,2,0.2520384610441041,0,Education,0,29,10,5121,838,45657,53110,4915.916666666667,0.7084653846179451,6,2967,0.216135,0.2201880713062038,461.24088978667646,0.1442743923215425,1,40.8
2018-09-08,24,92237,622,Employed,Bachelor,2,29532,96,Divorced,0,Mortgage,417,0.4755624175986784,4,2,0.3514774180121199,0,Auto,0,23,17,1961,1088,143116,99055,7686.416666666667,0.923623511279254,7,44061,0.253532,0.2765456002695212,766.6109641952073,0.1539873539939773,0,51.0
2018-09-09,51,52241,628,Employed,Bachelor,26,25118,12,Widowed,0,Rent,1434,0.4476995325225973,4,2,0.0733975280864151,0,Auto,0,24,23,917,645,18952,37802,4353.416666666667,0.8439205716517408,7,4632,0.176118,0.1716838723390577,2292.888651003273,0.8560836088903212,0,48.0
2018-09-10,65,66407,579,Employed,Bachelor,42,44037,48,1,1,Rent,235,0.2364061288432686,3,1,0.3872177261964307,0,Home,0,24,19,2825,1628,43020,11353,5533.916666666667,0.8152557776548154,5,31667,0.249537,0.2761222384388477,1525.028516701531,0.3180439140515062,0,54.0
2018-09-13,34,31043,536,Employed,Bachelor,13,13424,96,0,2,Mortgage,852,0.1648517978475679,1,0,0.4272706609557036,0,Debt Consolidation,0,25,19,2254,1243,52754,10360,2586.9166666666665,0.4602713584309764,1,42394,0.280424,0.2572740152972625,330.9964318295026,0.4572997835890227,0,56.0
2018-09-14,55,300000,509,Employed,Bachelor,32,18698,36,1,3,Mortgage,1099,0.4277876848852618,2,0,0.0817340523215344,0,Other,1,26,5,8564,5654,239980,27790,25000.0,0.7676418028148881,7,212190,0.249198,0.2064501955013329,701.0451019582598,0.0720018040783303,1,42.400000000000006
2018-09-17,49,79592,583,Self-Employed,Bachelor,25,17337,60,1,3,Mortgage,290,0.1635140381464005,3,1,0.47058030912631,1,Other,0,27,29,1256,1395,390370,36001,6632.666666666667,0.729069826894548,6,354369,0.230837,0.2323905541931926,491.1223136005481,0.1177689687808646,1,51.2
2018-09-18,28,45466,589,Unemployed,Bachelor,5,31671,84,0,0,Mortgage,256,0.3881664452652395,2,0,0.5857337818709185,1,Auto,1,19,15,3160,709,295715,36072,3788.8333333333335,0.8435637563957952,3,259643,0.262171,0.2553771604794591,812.5654158283506,0.282030198168746,0,74.0
2018-09-21,27,29349,570,Employed,Bachelor,9,31897,96,1,2,Mortgage,389,0.1479941767749165,5,2,0.0719280954556733,0,Other,0,29,4,11187,1186,56865,54858,2445.75,0.5459463775764613,2,2007,0.281897,0.3382764,966.1578162701564,0.5540868102913855,0,54.0
2018-09-27,41,80502,588,Employed,Bachelor,19,51696,36,1,2,Own,430,0.2302710467777223,4,1,0.2609069604025782,0,Home,0,25,17,4479,253,25948,87065,6708.5,0.901259720924612,4,2473,0.242696,0.2105622569508157,1949.1429813126647,0.354646043275347,0,51.0
2018-09-30,53,45788,635,Employed,Bachelor,29,31589,24,1,3,Mortgage,86,0.2279128675095257,3,0,0.3195737935541793,0,Education,0,23,12,12430,3377,99320,75842,3815.6666666666665,0.5640035753445708,6,23478,0.189089,0.1906701424783407,1593.3865037471464,0.4401292488199038,0,52.0
